Track,Artist,Playcount,Listeners,Duration,Listeners_per_Play,Date,Minutes,Popularity_Score,Underrated_Score
Girl Like Me,PinkPantheress,11206185,791988,145,14.149437870270761,2026-07-04,2.4166666666666665,3916247.1,70674.18572868465
Mr. Brightside,The Killers,52921463,3758676,223,14.079815073180024,2026-07-04,3.716666666666667,18507512.099999998,71023.6600979833
Into You,Ariana Grande,28666971,1775873,244,16.142466831806104,2026-07-04,4.066666666666666,9843202.399999999,61948.400478027484
The Less I Know the Better,Tame Impala,50353702,2850454,216,17.665151586378872,2026-07-04,3.6,17101428.4,56608.62829906726
Creep,Radiohead,62331265,4157608,235,14.992097619592805,2026-07-04,3.9166666666666665,21609705.1,66701.80687011566
505,Arctic Monkeys,59815786,3091038,305,19.351358993321984,2026-07-04,5.083333333333333,20108462.400000002,51675.95724647002
back to friends,sombr,26710402,1521324,144,17.557339527937508,2026-07-04,2.4,9078047.4,56956.23749878418
"Good Luck, Babe!",Chappell Roan,61577823,2128184,218,28.93444504798457,2026-07-04,3.6333333333333333,19963075.7,34560.88403774846
The One That Got Away,Katy Perry,22277850,1986030,227,11.21727768462712,2026-07-04,3.783333333333333,8073576.0,89148.18979389842
Midnight Sun,Zara Larsson,14428896,860160,189,16.77466517857143,2026-07-04,3.15,4930780.8,59613.7084916268
See You Again (feat. Kali Uchis),"Tyler, The Creator",59308946,2619630,180,22.640199570168306,2026-07-04,3.0,19626424.8,44169.221958522074
Bags,Clairo,36403206,1611967,260,22.583096304080666,2026-07-04,4.333333333333333,12049338.7,44280.90756621821
SWIM,BTS,276066764,489835,159,563.5913399410006,2026-07-04,2.65,83162913.7,1774.3352836200158
Manchild,Sabrina Carpenter,27548397,1328738,213,20.732753183848132,2026-07-04,3.55,9194635.7,48232.86088116125
Is it cool? (feat. SZA),Steve Lacy,390132,124973,174,3.1217302937434486,2026-07-04,2.9,204520.69999999998,320335.1686095988
Dracula,Tame Impala,13304726,1224003,205,10.869847541223347,2026-07-04,3.4166666666666665,4848219.899999999,91997.61047315066
Beat It,Michael Jackson,21201864,2786822,258,7.6079003251732615,2026-07-04,4.3,8311334.6,131442.31092134162
Dreams - 2004 Remaster,Fleetwood Mac,29860305,2062800,257,14.475618091913903,2026-07-04,4.283333333333333,10402051.5,69081.67883750684
Body to Body,BTS,76068687,422116,189,180.20801627988516,2026-07-04,3.15,23116087.299999997,5549.142710981721
End of Beginning,Djo,36293139,2095054,159,17.323247515338508,2026-07-04,2.65,12354479.5,57725.89689748247
Sweet Boy,Malcolm Todd,11742078,822481,180,14.276412464239295,2026-07-04,3.0,4098360.0999999996,70045.60862225578
Lovers Rock,TV Girl,51904386,2238828,213,23.18373095208743,2026-07-04,3.55,17138495.4,43133.695869169904
Iris,The Goo Goo Dolls,32905110,2393838,289,13.745754725257097,2026-07-04,4.816666666666666,11547219.6,72749.73400787901
"Lover, You Should've Come Over",Jeff Buckley,33601905,1701064,403,19.753463126607816,2026-07-04,6.716666666666667,11271316.3,50624.034559945336
Hooligan,BTS,73810876,401069,182,184.03535551239312,2026-07-04,3.033333333333333,22424011.1,5433.738518426471
Dracula - JENNIE remix,Tame Impala,6890222,788921,209,8.733728725689899,2026-07-04,3.4833333333333334,2619311.3,114498.63299034486
