Artist,Playcount,Listeners,URL,Date
Billie Eilish,849565428,4277987,https://www.last.fm/music/Billie+Eilish,2026-06-02
Bruno Mars,311278601,5308865,https://www.last.fm/music/Bruno+Mars,2026-06-02
Fleetwood Mac,305807944,4939324,https://www.last.fm/music/Fleetwood+Mac,2026-06-02
Harry Styles,454596925,3370241,https://www.last.fm/music/Harry+Styles,2026-06-02
Doja Cat,476989280,3680921,https://www.last.fm/music/Doja+Cat,2026-06-02
Gorillaz,525779948,6912137,https://www.last.fm/music/Gorillaz,2026-06-02
The Smiths,547180041,5124476,https://www.last.fm/music/The+Smiths,2026-06-02
A$AP Rocky,378873874,3498018,https://www.last.fm/music/A$AP+Rocky,2026-06-02
Linkin Park,756171708,6987890,https://www.last.fm/music/Linkin+Park,2026-06-02
Malcolm Todd,109068795,1443628,https://www.last.fm/music/Malcolm+Todd,2026-06-02
Childish Gambino,333858013,3867436,https://www.last.fm/music/Childish+Gambino,2026-06-02
SZA,595272421,3538171,https://www.last.fm/music/SZA,2026-06-02
Deftones,587876045,4282970,https://www.last.fm/music/Deftones,2026-06-02
Don Toliver,287851682,2588552,https://www.last.fm/music/Don+Toliver,2026-06-02
Travis Scott,691774796,3373876,https://www.last.fm/music/Travis+Scott,2026-06-02
The Neighbourhood,410688008,4018334,https://www.last.fm/music/The+Neighbourhood,2026-06-02
Bad Bunny,417915485,2628315,https://www.last.fm/music/Bad+Bunny,2026-06-02
Coldplay,786092448,9161655,https://www.last.fm/music/Coldplay,2026-06-02
Chappell Roan,342489462,2603793,https://www.last.fm/music/Chappell+Roan,2026-06-02
Beyoncé,707839441,6433143,https://www.last.fm/music/Beyonc%C3%A9,2026-06-02
Mac Miller,441072456,3584207,https://www.last.fm/music/Mac+Miller,2026-06-02
The Marías,250207108,2549524,https://www.last.fm/music/The+Mar%C3%ADas,2026-06-02
Clairo,359095041,2965545,https://www.last.fm/music/Clairo,2026-06-02
Mitski,676609317,3312703,https://www.last.fm/music/Mitski,2026-06-02
Future,470055195,3260714,https://www.last.fm/music/Future,2026-06-02
TV Girl,302059009,2902674,https://www.last.fm/music/TV+Girl,2026-06-02
Dominic Fike,159743211,2636783,https://www.last.fm/music/Dominic+Fike,2026-06-02
The Beatles,1113443055,6558177,https://www.last.fm/music/The+Beatles,2026-06-02
Michael Jackson,387015586,7005170,https://www.last.fm/music/Michael+Jackson,2026-06-03
Drake,1214671472,6791476,https://www.last.fm/music/Drake,2026-06-03
Ariana Grande,1139517737,4538435,https://www.last.fm/music/Ariana+Grande,2026-06-03
The Weeknd,1140740927,5373837,https://www.last.fm/music/The+Weeknd,2026-06-03
Kanye West,1564849576,8002487,https://www.last.fm/music/Kanye+West,2026-06-03
PinkPantheress,345452508,3151711,https://www.last.fm/music/PinkPantheress,2026-06-03
Rihanna,612131922,8359180,https://www.last.fm/music/Rihanna,2026-06-03
Radiohead,1391840940,8296006,https://www.last.fm/music/Radiohead,2026-06-03
Kendrick Lamar,1044386939,5146845,https://www.last.fm/music/Kendrick+Lamar,2026-06-03
Taylor Swift,3716657384,5989745,https://www.last.fm/music/Taylor+Swift,2026-06-03
Tame Impala,431216575,4468943,https://www.last.fm/music/Tame+Impala,2026-06-03
Lady Gaga,1047223704,7780825,https://www.last.fm/music/Lady+Gaga,2026-06-03
Olivia Rodrigo,585492202,3173926,https://www.last.fm/music/Olivia+Rodrigo,2026-06-03
"Tyler, The Creator",1066353704,4377667,"https://www.last.fm/music/Tyler,+The+Creator",2026-06-03
Charli xcx,736094008,3821445,https://www.last.fm/music/Charli+xcx,2026-06-03
Justin Bieber,347194114,4909138,https://www.last.fm/music/Justin+Bieber,2026-06-03
Sabrina Carpenter,684842966,3299167,https://www.last.fm/music/Sabrina+Carpenter,2026-06-03
Lana Del Rey,1600611744,5309972,https://www.last.fm/music/Lana+Del+Rey,2026-06-03
Arctic Monkeys,945477514,7158097,https://www.last.fm/music/Arctic+Monkeys,2026-06-03
Katy Perry,447704910,7230188,https://www.last.fm/music/Katy+Perry,2026-06-03
Paramore,594911740,5700388,https://www.last.fm/music/Paramore,2026-06-03
Frank Ocean,788072239,4308415,https://www.last.fm/music/Frank+Ocean,2026-06-03
Billie Eilish,849920393,4279246,https://www.last.fm/music/Billie+Eilish,2026-06-03
Bruno Mars,311506784,5310639,https://www.last.fm/music/Bruno+Mars,2026-06-03
Fleetwood Mac,305987491,4940850,https://www.last.fm/music/Fleetwood+Mac,2026-06-03
Harry Styles,454924277,3371889,https://www.last.fm/music/Harry+Styles,2026-06-03
Doja Cat,477215015,3682287,https://www.last.fm/music/Doja+Cat,2026-06-03
Gorillaz,525978106,6913452,https://www.last.fm/music/Gorillaz,2026-06-03
The Smiths,547400591,5126094,https://www.last.fm/music/The+Smiths,2026-06-03
A$AP Rocky,379126708,3499443,https://www.last.fm/music/A$AP+Rocky,2026-06-03
Linkin Park,756515553,6989526,https://www.last.fm/music/Linkin+Park,2026-06-03
Malcolm Todd,109509156,1448106,https://www.last.fm/music/Malcolm+Todd,2026-06-03
Childish Gambino,334007711,3868887,https://www.last.fm/music/Childish+Gambino,2026-06-03
SZA,595487473,3539327,https://www.last.fm/music/SZA,2026-06-03
Deftones,588224897,4284153,https://www.last.fm/music/Deftones,2026-06-03
Don Toliver,288156680,2590007,https://www.last.fm/music/Don+Toliver,2026-06-03
Travis Scott,692040026,3374822,https://www.last.fm/music/Travis+Scott,2026-06-03
The Neighbourhood,410949182,4019750,https://www.last.fm/music/The+Neighbourhood,2026-06-03
Bad Bunny,418256269,2629626,https://www.last.fm/music/Bad+Bunny,2026-06-03
Coldplay,786245568,9163192,https://www.last.fm/music/Coldplay,2026-06-03
Chappell Roan,342674988,2604893,https://www.last.fm/music/Chappell+Roan,2026-06-03
Beyoncé,708060557,6434581,https://www.last.fm/music/Beyonc%C3%A9,2026-06-03
Mac Miller,441294716,3585914,https://www.last.fm/music/Mac+Miller,2026-06-03
Clairo,359338624,2967354,https://www.last.fm/music/Clairo,2026-06-03
The Marías,250455821,2551088,https://www.last.fm/music/The+Mar%C3%ADas,2026-06-03
Mitski,676939737,3313989,https://www.last.fm/music/Mitski,2026-06-03
Future,470281047,3261896,https://www.last.fm/music/Future,2026-06-03
TV Girl,302276419,2904115,https://www.last.fm/music/TV+Girl,2026-06-03
Dominic Fike,159901230,2639306,https://www.last.fm/music/Dominic+Fike,2026-06-03
The Beatles,1113773454,6559481,https://www.last.fm/music/The+Beatles,2026-06-03
Michael Jackson,388589400,7012737,https://www.last.fm/music/Michael+Jackson,2026-06-05
Ariana Grande,1142031222,4542975,https://www.last.fm/music/Ariana+Grande,2026-06-05
Drake,1217065800,6794299,https://www.last.fm/music/Drake,2026-06-05
The Weeknd,1141726462,5376928,https://www.last.fm/music/The+Weeknd,2026-06-05
Kanye West,1566143253,8005035,https://www.last.fm/music/Kanye+West,2026-06-05
PinkPantheress,346298452,3155435,https://www.last.fm/music/PinkPantheress,2026-06-05
Radiohead,1392815784,8299404,https://www.last.fm/music/Radiohead,2026-06-05
Rihanna,612672527,8362769,https://www.last.fm/music/Rihanna,2026-06-05
